language,cohort,number_prs,actor.display_login
1C Enterprise,2017-07,45,18
1C Enterprise,2017-08,96,18
1C Enterprise,2017-09,39,13
1C Enterprise,2017-10,64,18
1C Enterprise,2017-11,81,16
ABAP,2017-07,78,12
ABAP,2017-08,39,10
ABAP,2017-09,29,10
ABAP,2017-10,77,12
ABAP,2017-11,59,14
AGS Script,2017-07,21,10
AGS Script,2017-08,12,7
AGS Script,2017-09,22,10
AGS Script,2017-10,16,8
AGS Script,2017-11,7,3
AMPL,2017-07,15,10
AMPL,2017-08,21,7
AMPL,2017-09,16,11
AMPL,2017-10,22,10
AMPL,2017-11,15,10
ANTLR,2017-07,67,8
ANTLR,2017-08,41,10
ANTLR,2017-09,24,8
ANTLR,2017-10,23,7
ANTLR,2017-11,51,11
API Blueprint,2017-07,75,31
API Blueprint,2017-08,157,35
API Blueprint,2017-09,125,31
API Blueprint,2017-10,96,26
API Blueprint,2017-11,140,37
APL,2017-07,1,1
APL,2017-08,4,4
APL,2017-09,13,5
APL,2017-10,25,6
APL,2017-11,6,5
ASP,2017-07,212,61
ASP,2017-08,246,54
ASP,2017-09,134,53
ASP,2017-10,243,107
ASP,2017-11,324,130
ATS,2017-07,1,1
ATS,2017-10,1,1
ATS,2017-11,2,1
ActionScript,2017-07,131,35
ActionScript,2017-08,220,34
ActionScript,2017-09,111,33
ActionScript,2017-10,109,50
ActionScript,2017-11,119,29
Ada,2017-07,12,6
Ada,2017-08,27,10
Ada,2017-09,21,11
Ada,2017-10,46,11
Ada,2017-11,25,11
Agda,2017-07,20,8
Agda,2017-08,8,4
Agda,2017-09,5,4
Agda,2017-10,6,5
Agda,2017-11,6,6
Alloy,2017-08,5,4
Alloy,2017-11,5,3
AngelScript,2017-10,36,7
AngelScript,2017-11,25,6
ApacheConf,2017-07,180,74
ApacheConf,2017-08,194,80
ApacheConf,2017-09,202,79
ApacheConf,2017-10,160,67
ApacheConf,2017-11,33,27
Apex,2017-07,308,65
Apex,2017-08,274,83
Apex,2017-09,268,66
Apex,2017-10,194,70
Apex,2017-11,364,84
AppleScript,2017-07,7,4
AppleScript,2017-08,3,2
AppleScript,2017-09,8,7
AppleScript,2017-10,25,10
AppleScript,2017-11,6,4
Arc,2017-10,3,3
Arc,2017-11,2,2
Arduino,2017-07,401,221
Arduino,2017-08,469,251
Arduino,2017-09,515,266
Arduino,2017-10,926,405
Arduino,2017-11,808,395
AspectJ,2017-07,2,1
AspectJ,2017-08,3,1
AspectJ,2017-10,7,2
AspectJ,2017-11,2,1
Assembly,2017-07,337,95
Assembly,2017-08,351,103
Assembly,2017-09,459,132
Assembly,2017-10,565,164
Assembly,2017-11,616,170
Augeas,2017-08,8,2
Augeas,2017-09,19,3
Augeas,2017-10,4,1
Augeas,2017-11,5,1
AutoHotkey,2017-07,36,20
AutoHotkey,2017-08,29,18
AutoHotkey,2017-09,51,21
AutoHotkey,2017-10,50,21
AutoHotkey,2017-11,54,22
AutoIt,2017-07,16,7
AutoIt,2017-08,8,5
AutoIt,2017-09,20,7
AutoIt,2017-10,9,8
AutoIt,2017-11,20,9
Awk,2017-07,5,4
Awk,2017-08,5,4
Awk,2017-09,15,5
Awk,2017-10,9,8
Awk,2017-11,4,3
Ballerina,2017-10,3,2
Ballerina,2017-11,56,4
Batchfile,2017-07,436,128
Batchfile,2017-08,407,133
Batchfile,2017-09,427,142
Batchfile,2017-10,680,174
Batchfile,2017-11,497,147
Bison,2017-07,1,1
BitBake,2017-07,282,73
BitBake,2017-08,209,83
BitBake,2017-09,188,61
BitBake,2017-10,212,66
BitBake,2017-11,231,78
BlitzBasic,2017-07,1,1
BlitzBasic,2017-10,1,1
BlitzBasic,2017-11,1,1
BlitzMax,2017-07,13,2
Bluespec,2017-11,2,2
Brainfuck,2017-07,2,2
Brainfuck,2017-09,12,4
Brainfuck,2017-10,45,19
Brainfuck,2017-11,9,5
Brightscript,2017-07,3,2
Brightscript,2017-08,8,6
Brightscript,2017-09,20,4
Brightscript,2017-10,15,4
Brightscript,2017-11,15,4
Bro,2017-07,1,1
Bro,2017-08,1,1
Bro,2017-09,7,6
Bro,2017-10,6,4
Bro,2017-11,9,3
C,2017-07,18517,5341
