cohort,language,number_prs,actor.display_login
2017-07,all,3106.138775510204,695.7836734693877
2017-08,all,3311.0246913580245,720.2551440329219
2017-09,all,3198.9755102040817,728.6408163265306
2017-10,all,3832.2380952380954,851.6031746031746
2017-11,all,3669.247058823529,810.0549019607843
2017-07,1C Enterprise,45.0,18.0
2017-08,1C Enterprise,96.0,18.0
2017-09,1C Enterprise,39.0,13.0
2017-10,1C Enterprise,64.0,18.0
2017-11,1C Enterprise,81.0,16.0
2017-07,ABAP,78.0,12.0
2017-08,ABAP,39.0,10.0
2017-09,ABAP,29.0,10.0
2017-10,ABAP,77.0,12.0
2017-11,ABAP,59.0,14.0
2017-07,AGS Script,21.0,10.0
2017-08,AGS Script,12.0,7.0
2017-09,AGS Script,22.0,10.0
2017-10,AGS Script,16.0,8.0
2017-11,AGS Script,7.0,3.0
2017-07,AMPL,15.0,10.0
2017-08,AMPL,21.0,7.0
2017-09,AMPL,16.0,11.0
2017-10,AMPL,22.0,10.0
2017-11,AMPL,15.0,10.0
2017-07,ANTLR,67.0,8.0
2017-08,ANTLR,41.0,10.0
2017-09,ANTLR,24.0,8.0
2017-10,ANTLR,23.0,7.0
2017-11,ANTLR,51.0,11.0
2017-07,API Blueprint,75.0,31.0
2017-08,API Blueprint,157.0,35.0
2017-09,API Blueprint,125.0,31.0
2017-10,API Blueprint,96.0,26.0
2017-11,API Blueprint,140.0,37.0
2017-07,APL,1.0,1.0
2017-08,APL,4.0,4.0
2017-09,APL,13.0,5.0
2017-10,APL,25.0,6.0
2017-11,APL,6.0,5.0
2017-07,ASP,212.0,61.0
2017-08,ASP,246.0,54.0
2017-09,ASP,134.0,53.0
2017-10,ASP,243.0,107.0
2017-11,ASP,324.0,130.0
2017-07,ATS,1.0,1.0
2017-10,ATS,1.0,1.0
2017-11,ATS,2.0,1.0
2017-07,ActionScript,131.0,35.0
2017-08,ActionScript,220.0,34.0
2017-09,ActionScript,111.0,33.0
2017-10,ActionScript,109.0,50.0
2017-11,ActionScript,119.0,29.0
2017-07,Ada,12.0,6.0
2017-08,Ada,27.0,10.0
2017-09,Ada,21.0,11.0
2017-10,Ada,46.0,11.0
2017-11,Ada,25.0,11.0
2017-07,Agda,20.0,8.0
2017-08,Agda,8.0,4.0
2017-09,Agda,5.0,4.0
2017-10,Agda,6.0,5.0
2017-11,Agda,6.0,6.0
2017-08,Alloy,5.0,4.0
2017-11,Alloy,5.0,3.0
2017-10,AngelScript,36.0,7.0
2017-11,AngelScript,25.0,6.0
2017-07,ApacheConf,180.0,74.0
2017-08,ApacheConf,194.0,80.0
2017-09,ApacheConf,202.0,79.0
2017-10,ApacheConf,160.0,67.0
2017-11,ApacheConf,33.0,27.0
2017-07,Apex,308.0,65.0
2017-08,Apex,274.0,83.0
2017-09,Apex,268.0,66.0
2017-10,Apex,194.0,70.0
2017-11,Apex,364.0,84.0
2017-07,AppleScript,7.0,4.0
2017-08,AppleScript,3.0,2.0
2017-09,AppleScript,8.0,7.0
2017-10,AppleScript,25.0,10.0
2017-11,AppleScript,6.0,4.0
2017-10,Arc,3.0,3.0
2017-11,Arc,2.0,2.0
2017-07,Arduino,401.0,221.0
2017-08,Arduino,469.0,251.0
2017-09,Arduino,515.0,266.0
2017-10,Arduino,926.0,405.0
2017-11,Arduino,808.0,395.0
2017-07,AspectJ,2.0,1.0
2017-08,AspectJ,3.0,1.0
2017-10,AspectJ,7.0,2.0
2017-11,AspectJ,2.0,1.0
2017-07,Assembly,337.0,95.0
2017-08,Assembly,351.0,103.0
2017-09,Assembly,459.0,132.0
2017-10,Assembly,565.0,164.0
2017-11,Assembly,616.0,170.0
2017-08,Augeas,8.0,2.0
2017-09,Augeas,19.0,3.0
2017-10,Augeas,4.0,1.0
2017-11,Augeas,5.0,1.0
2017-07,AutoHotkey,36.0,20.0
2017-08,AutoHotkey,29.0,18.0
2017-09,AutoHotkey,51.0,21.0
2017-10,AutoHotkey,50.0,21.0
2017-11,AutoHotkey,54.0,22.0
2017-07,AutoIt,16.0,7.0
2017-08,AutoIt,8.0,5.0
2017-09,AutoIt,20.0,7.0
2017-10,AutoIt,9.0,8.0
2017-11,AutoIt,20.0,9.0
2017-07,Awk,5.0,4.0
2017-08,Awk,5.0,4.0
2017-09,Awk,15.0,5.0
2017-10,Awk,9.0,8.0
2017-11,Awk,4.0,3.0
2017-10,Ballerina,3.0,2.0
2017-11,Ballerina,56.0,4.0
2017-07,Batchfile,436.0,128.0
2017-08,Batchfile,407.0,133.0
2017-09,Batchfile,427.0,142.0
2017-10,Batchfile,680.0,174.0
2017-11,Batchfile,497.0,147.0
2017-07,Bison,1.0,1.0
2017-07,BitBake,282.0,73.0
2017-08,BitBake,209.0,83.0
2017-09,BitBake,188.0,61.0
2017-10,BitBake,212.0,66.0
2017-11,BitBake,231.0,78.0
2017-07,BlitzBasic,1.0,1.0
2017-10,BlitzBasic,1.0,1.0
2017-11,BlitzBasic,1.0,1.0
2017-07,BlitzMax,13.0,2.0
2017-11,Bluespec,2.0,2.0
2017-07,Brainfuck,2.0,2.0
2017-09,Brainfuck,12.0,4.0
2017-10,Brainfuck,45.0,19.0
2017-11,Brainfuck,9.0,5.0
2017-07,Brightscript,3.0,2.0
2017-08,Brightscript,8.0,6.0
2017-09,Brightscript,20.0,4.0
2017-10,Brightscript,15.0,4.0
2017-11,Brightscript,15.0,4.0
2017-07,Bro,1.0,1.0
2017-08,Bro,1.0,1.0
2017-09,Bro,7.0,6.0
2017-10,Bro,6.0,4.0
2017-11,Bro,9.0,3.0
2017-07,C,18517.0,5341.0
2017-08,C,18877.0,5344.0
2017-09,C,18999.0,5584.0
2017-10,C,24284.0,6799.0
2017-11,C,22893.0,6429.0
2017-07,C#,25421.0,5915.0
2017-08,C#,26988.0,6226.0
2017-09,C#,27052.0,6601.0
2017-10,C#,34032.0,7832.0
2017-11,C#,33330.0,7800.0
2017-07,C++,35184.0,8234.0
2017-08,C++,35423.0,8151.0
2017-09,C++,33935.0,8450.0
2017-10,C++,45800.0,10197.0
2017-11,C++,42373.0,9966.0
2017-08,CLIPS,1.0,1.0
2017-09,CLIPS,11.0,5.0
2017-10,CLIPS,4.0,4.0
2017-11,CLIPS,6.0,4.0
2017-07,CMake,715.0,225.0
2017-08,CMake,722.0,237.0
2017-09,CMake,898.0,312.0
2017-10,CMake,1117.0,385.0
2017-11,CMake,896.0,326.0
2017-07,COBOL,6.0,4.0
2017-08,COBOL,7.0,5.0
2017-09,COBOL,9.0,5.0
2017-10,COBOL,55.0,15.0
2017-11,COBOL,32.0,7.0
2017-07,CSS,26008.0,7648.0
2017-08,CSS,27921.0,8079.0
2017-09,CSS,27105.0,7936.0
2017-10,CSS,33211.0,9865.0
2017-11,CSS,32025.0,9111.0
2017-10,CWeb,1.0,1.0
2017-11,CWeb,2.0,2.0
2017-07,CartoCSS,26.0,6.0
2017-08,CartoCSS,53.0,9.0
2017-09,CartoCSS,51.0,7.0
2017-10,CartoCSS,29.0,9.0
2017-11,CartoCSS,24.0,7.0
2017-07,Ceylon,9.0,4.0
2017-08,Ceylon,11.0,6.0
2017-09,Ceylon,13.0,5.0
2017-10,Ceylon,6.0,4.0
2017-11,Ceylon,12.0,5.0
2017-07,Chapel,246.0,18.0
2017-08,Chapel,251.0,20.0
2017-09,Chapel,276.0,16.0
2017-10,Chapel,135.0,15.0
2017-11,Chapel,129.0,13.0
2017-07,ChucK,2.0,1.0
2017-08,Cirru,4.0,3.0
2017-07,Clean,8.0,3.0
2017-08,Clean,2.0,1.0
2017-09,Clean,3.0,2.0
2017-10,Clean,2.0,2.0
2017-11,Clean,1.0,1.0
2017-07,Clojure,1410.0,427.0
2017-08,Clojure,1340.0,404.0
2017-09,Clojure,1467.0,448.0
2017-10,Clojure,1948.0,488.0
2017-11,Clojure,1467.0,407.0
2017-07,CoffeeScript,2017.0,539.0
2017-08,CoffeeScript,1866.0,540.0
2017-09,CoffeeScript,1970.0,519.0
2017-10,CoffeeScript,2153.0,596.0
2017-11,CoffeeScript,2196.0,528.0
2017-07,ColdFusion,122.0,29.0
2017-08,ColdFusion,189.0,29.0
2017-09,ColdFusion,203.0,23.0
2017-10,ColdFusion,324.0,37.0
2017-11,ColdFusion,205.0,33.0
2017-07,Common Lisp,465.0,75.0
2017-08,Common Lisp,252.0,67.0
2017-09,Common Lisp,196.0,78.0
2017-10,Common Lisp,225.0,89.0
2017-11,Common Lisp,217.0,82.0
2017-07,Component Pascal,7.0,5.0
2017-08,Component Pascal,6.0,4.0
2017-09,Component Pascal,1.0,1.0
2017-10,Component Pascal,13.0,4.0
2017-11,Component Pascal,1.0,1.0
2017-10,Cool,1.0,1.0
2017-07,Coq,90.0,36.0
2017-08,Coq,84.0,26.0
2017-09,Coq,62.0,31.0
2017-10,Coq,108.0,40.0
2017-11,Coq,87.0,30.0
2017-07,Crystal,215.0,70.0
2017-08,Crystal,282.0,67.0
2017-09,Crystal,369.0,68.0
2017-10,Crystal,378.0,74.0
2017-11,Crystal,403.0,69.0
2017-11,Csound,1.0,1.0
2017-10,Csound Document,1.0,1.0
2017-11,Csound Document,1.0,1.0
2017-07,Cucumber,4.0,4.0
2017-08,Cucumber,2.0,2.0
2017-09,Cucumber,4.0,3.0
2017-11,Cucumber,1.0,1.0
2017-07,Cuda,41.0,27.0
2017-08,Cuda,54.0,21.0
2017-09,Cuda,60.0,29.0
2017-10,Cuda,72.0,45.0
2017-11,Cuda,81.0,37.0
2017-07,D,783.0,93.0
2017-08,D,535.0,94.0
2017-09,D,452.0,86.0
