cohort,column,language,metric,value
2017-07,days_open_merged,all,count,637893.0
2017-08,days_open_merged,all,count,683205.0
2017-09,days_open_merged,all,count,662608.0
2017-10,days_open_merged,all,count,817544.0
2017-11,days_open_merged,all,count,793480.0
2017-07,days_open_merged,all,mean,4.37320522407363
2017-08,days_open_merged,all,mean,4.267208231789873
2017-09,days_open_merged,all,mean,4.322431965807838
2017-10,days_open_merged,all,mean,3.9943954086874833
2017-11,days_open_merged,all,mean,4.178663608408529
2017-07,days_open_merged,all,std,31.44164376606406
2017-08,days_open_merged,all,std,30.35251273168185
2017-09,days_open_merged,all,std,31.40369047367591
2017-10,days_open_merged,all,std,31.243200359282746
2017-11,days_open_merged,all,std,31.791672065500094
2017-07,days_open_merged,all,min,-1.0
2017-08,days_open_merged,all,min,-1.0
2017-09,days_open_merged,all,min,0.0
2017-10,days_open_merged,all,min,0.0
2017-11,days_open_merged,all,min,-1.0
2017-07,days_open_merged,all,0%,-1.0
2017-08,days_open_merged,all,0%,-1.0
2017-09,days_open_merged,all,0%,0.0
2017-10,days_open_merged,all,0%,0.0
2017-11,days_open_merged,all,0%,-1.0
2017-07,days_open_merged,all,1%,0.0
2017-08,days_open_merged,all,1%,0.0
2017-09,days_open_merged,all,1%,0.0
2017-10,days_open_merged,all,1%,0.0
2017-11,days_open_merged,all,1%,0.0
2017-07,days_open_merged,all,5%,0.0
2017-08,days_open_merged,all,5%,0.0
2017-09,days_open_merged,all,5%,0.0
2017-10,days_open_merged,all,5%,0.0
2017-11,days_open_merged,all,5%,0.0
2017-07,days_open_merged,all,25%,0.0
2017-08,days_open_merged,all,25%,0.0
2017-09,days_open_merged,all,25%,0.0
2017-10,days_open_merged,all,25%,0.0
2017-11,days_open_merged,all,25%,0.0
2017-07,days_open_merged,all,50%,0.0
2017-08,days_open_merged,all,50%,0.0
2017-09,days_open_merged,all,50%,0.0
2017-10,days_open_merged,all,50%,0.0
2017-11,days_open_merged,all,50%,0.0
2017-07,days_open_merged,all,75%,0.0
2017-08,days_open_merged,all,75%,0.0
2017-09,days_open_merged,all,75%,0.0
2017-10,days_open_merged,all,75%,0.0
2017-11,days_open_merged,all,75%,0.0
2017-07,days_open_merged,all,95%,14.0
2017-08,days_open_merged,all,95%,14.0
2017-09,days_open_merged,all,95%,13.0
2017-10,days_open_merged,all,95%,12.0
2017-11,days_open_merged,all,95%,13.0
2017-07,days_open_merged,all,99%,92.0
2017-08,days_open_merged,all,99%,87.0
2017-09,days_open_merged,all,99%,90.0
2017-10,days_open_merged,all,99%,80.0
2017-11,days_open_merged,all,99%,82.0
2017-07,days_open_merged,all,100%,2147.0
2017-08,days_open_merged,all,100%,2226.0
2017-09,days_open_merged,all,100%,2177.0
2017-10,days_open_merged,all,100%,2302.0
2017-11,days_open_merged,all,100%,2534.0
2017-07,days_open_merged,all,max,2147.0
2017-08,days_open_merged,all,max,2226.0
2017-09,days_open_merged,all,max,2177.0
2017-10,days_open_merged,all,max,2302.0
2017-11,days_open_merged,all,max,2534.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,count,761004.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,count,804579.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,count,783749.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,count,965724.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,count,935658.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,mean,89.68629994060478
2017-08,payload.pull_request.base.repo.open_issues_count,all,mean,93.75970662918122
2017-09,payload.pull_request.base.repo.open_issues_count,all,mean,89.85781927632443
2017-10,payload.pull_request.base.repo.open_issues_count,all,mean,90.86808756953333
2017-11,payload.pull_request.base.repo.open_issues_count,all,mean,93.02732408636489
2017-07,payload.pull_request.base.repo.open_issues_count,all,std,380.0943056561408
2017-08,payload.pull_request.base.repo.open_issues_count,all,std,417.4043807367571
2017-09,payload.pull_request.base.repo.open_issues_count,all,std,394.1924602964206
2017-10,payload.pull_request.base.repo.open_issues_count,all,std,406.52257770855596
2017-11,payload.pull_request.base.repo.open_issues_count,all,std,435.64607217180145
2017-07,payload.pull_request.base.repo.open_issues_count,all,min,0.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,min,0.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,min,0.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,min,0.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,min,0.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,0%,0.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,0%,0.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,0%,0.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,0%,0.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,0%,0.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,1%,0.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,1%,0.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,1%,0.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,1%,0.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,1%,0.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,5%,0.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,5%,0.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,5%,0.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,5%,0.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,5%,0.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,25%,0.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,25%,0.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,25%,0.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,25%,0.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,25%,0.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,50%,3.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,50%,3.0
