language1,language2,paradigm1,paradigm2,common_actors
Roff,Roff,undefined,undefined,112
Roff,SaltStack,undefined,undefined,0
Roff,Vala,undefined,undefined,0
Roff,Shell,undefined,scripted,6
Roff,PowerShell,undefined,scripted,0
Roff,Vim script,undefined,scripted,0
Roff,Emacs Lisp,undefined,scripted,0
Roff,Batchfile,undefined,scripted,0
Roff,PHP,undefined,procedural,0
Roff,C++,undefined,procedural,6
Roff,JavaScript,undefined,oob,14
Roff,Python,undefined,oob,12
Roff,Java,undefined,oob,18
Roff,Ruby,undefined,oob,4
Roff,C#,undefined,oob,2
Roff,TypeScript,undefined,oob,0
Roff,Objective-C,undefined,oob,0
Roff,Jupyter Notebook,undefined,oob,4
Roff,Kotlin,undefined,oob,0
Roff,Dart,undefined,oob,0
Roff,Go,undefined,multi,3
Roff,Swift,undefined,multi,0
Roff,Scala,undefined,multi,6
Roff,R,undefined,multi,0
Roff,Rust,undefined,multi,1
Roff,Perl,undefined,multi,1
Roff,Lua,undefined,multi,0
Roff,CoffeeScript,undefined,multi,0
Roff,Matlab,undefined,multi,0
Roff,Julia,undefined,multi,1
Roff,Visual Basic,undefined,multi,0
Roff,D,undefined,multi,0
Roff,F#,undefined,multi,0
Roff,Assembly,undefined,machine,0
Roff,C,undefined,imperative,7
Roff,Arduino,undefined,imperative,0
Roff,Fortran,undefined,imperative,1
Roff,Elixir,undefined,functional,0
Roff,Groovy,undefined,functional,0
Roff,Haskell,undefined,functional,2
Roff,Clojure,undefined,functional,0
Roff,Erlang,undefined,functional,0
Roff,OCaml,undefined,functional,0
Roff,Common Lisp,undefined,functional,0
Roff,HTML,undefined,declarative,4
Roff,CSS,undefined,declarative,3
Roff,XSLT,undefined,declarative,0
Roff,Elm,undefined,declarative,0
Roff,PLpgSQL,undefined,declarative,0
Roff,Nix,undefined,declarative,0
SaltStack,Roff,undefined,undefined,0
SaltStack,SaltStack,undefined,undefined,67
SaltStack,Vala,undefined,undefined,0
SaltStack,Shell,undefined,scripted,18
SaltStack,PowerShell,undefined,scripted,1
SaltStack,Vim script,undefined,scripted,1
SaltStack,Emacs Lisp,undefined,scripted,0
SaltStack,Batchfile,undefined,scripted,0
SaltStack,PHP,undefined,procedural,5
SaltStack,C++,undefined,procedural,2
SaltStack,JavaScript,undefined,oob,6
SaltStack,Python,undefined,oob,22
SaltStack,Java,undefined,oob,2
SaltStack,Ruby,undefined,oob,12
SaltStack,C#,undefined,oob,0
SaltStack,TypeScript,undefined,oob,0
SaltStack,Objective-C,undefined,oob,0
SaltStack,Jupyter Notebook,undefined,oob,1
SaltStack,Kotlin,undefined,oob,0
SaltStack,Dart,undefined,oob,0
SaltStack,Go,undefined,multi,4
SaltStack,Swift,undefined,multi,0
SaltStack,Scala,undefined,multi,1
SaltStack,R,undefined,multi,0
SaltStack,Rust,undefined,multi,1
SaltStack,Perl,undefined,multi,2
SaltStack,Lua,undefined,multi,1
SaltStack,CoffeeScript,undefined,multi,0
SaltStack,Matlab,undefined,multi,0
SaltStack,Julia,undefined,multi,0
SaltStack,Visual Basic,undefined,multi,0
SaltStack,D,undefined,multi,0
SaltStack,F#,undefined,multi,0
SaltStack,Assembly,undefined,machine,0
SaltStack,C,undefined,imperative,0
SaltStack,Arduino,undefined,imperative,0
SaltStack,Fortran,undefined,imperative,0
SaltStack,Elixir,undefined,functional,0
SaltStack,Groovy,undefined,functional,3
SaltStack,Haskell,undefined,functional,0
SaltStack,Clojure,undefined,functional,0
SaltStack,Erlang,undefined,functional,1
SaltStack,OCaml,undefined,functional,0
SaltStack,Common Lisp,undefined,functional,0
SaltStack,HTML,undefined,declarative,6
SaltStack,CSS,undefined,declarative,2
SaltStack,XSLT,undefined,declarative,0
SaltStack,Elm,undefined,declarative,1
SaltStack,PLpgSQL,undefined,declarative,0
SaltStack,Nix,undefined,declarative,0
Vala,Roff,undefined,undefined,0
Vala,SaltStack,undefined,undefined,0
Vala,Vala,undefined,undefined,51
Vala,Shell,undefined,scripted,3
Vala,PowerShell,undefined,scripted,0
Vala,Vim script,undefined,scripted,0
Vala,Emacs Lisp,undefined,scripted,1
Vala,Batchfile,undefined,scripted,0
Vala,PHP,undefined,procedural,3
Vala,C++,undefined,procedural,2
Vala,JavaScript,undefined,oob,4
Vala,Python,undefined,oob,5
Vala,Java,undefined,oob,2
Vala,Ruby,undefined,oob,0
Vala,C#,undefined,oob,0
Vala,TypeScript,undefined,oob,0
Vala,Objective-C,undefined,oob,0
Vala,Jupyter Notebook,undefined,oob,0
