language1,language2,common_actors
JavaScript,JavaScript,80268
JavaScript,Python,4863
JavaScript,Java,3660
JavaScript,HTML,9322
JavaScript,Ruby,3175
JavaScript,PHP,3017
JavaScript,C++,1193
JavaScript,Go,1322
JavaScript,CSS,5720
JavaScript,C#,1225
JavaScript,TypeScript,2739
JavaScript,C,825
JavaScript,Shell,2090
JavaScript,Scala,295
JavaScript,Swift,390
JavaScript,PowerShell,145
JavaScript,Rust,252
JavaScript,Objective-C,629
JavaScript,Jupyter Notebook,286
JavaScript,DM,9
JavaScript,R,106
JavaScript,Lua,117
JavaScript,Kotlin,126
JavaScript,Elixir,222
JavaScript,Perl,145
JavaScript,Vue,504
JavaScript,Makefile,280
JavaScript,Groovy,161
JavaScript,Julia,18
JavaScript,Haskell,120
JavaScript,CoffeeScript,457
JavaScript,TeX,126
JavaScript,Clojure,116
JavaScript,HCL,99
JavaScript,OCaml,64
JavaScript,Vim script,146
JavaScript,XSLT,88
JavaScript,Nix,20
JavaScript,Matlab,26
JavaScript,CMake,52
JavaScript,Dart,30
JavaScript,Erlang,43
JavaScript,Puppet,57
JavaScript,Emacs Lisp,61
JavaScript,Smarty,58
JavaScript,PLpgSQL,117
JavaScript,Visual Basic,29
JavaScript,Fortran,9
JavaScript,Arduino,62
JavaScript,F#,28
Python,JavaScript,4863
Python,Python,46859
Python,Java,1939
Python,HTML,3264
Python,Ruby,1184
Python,PHP,873
Python,C++,1946
Python,Go,1154
Python,CSS,1704
Python,C#,481
Python,TypeScript,467
Python,C,1437
Python,Shell,2552
Python,Scala,222
Python,Swift,169
Python,PowerShell,85
Python,Rust,205
Python,Objective-C,131
Python,Jupyter Notebook,1078
Python,DM,8
Python,R,139
Python,Lua,112
Python,Kotlin,64
Python,Elixir,62
Python,Perl,197
Python,Vue,60
Python,Makefile,366
Python,Groovy,161
Python,Julia,58
Python,Haskell,79
Python,CoffeeScript,112
Python,TeX,278
Python,Clojure,68
Python,HCL,117
Python,OCaml,32
Python,Vim script,114
Python,XSLT,67
Python,Nix,25
Python,Matlab,97
Python,CMake,203
Python,Dart,20
Python,Erlang,42
Python,Puppet,76
Python,Emacs Lisp,68
Python,Smarty,57
Python,PLpgSQL,63
Python,Visual Basic,16
Python,Fortran,51
Python,Arduino,78
Python,F#,5
Java,JavaScript,3660
Java,Python,1939
Java,Java,44057
Java,HTML,2300
Java,Ruby,722
Java,PHP,677
Java,C++,826
Java,Go,554
Java,CSS,1090
Java,C#,573
Java,TypeScript,631
Java,C,633
Java,Shell,1320
Java,Scala,357
Java,Swift,268
Java,PowerShell,32
Java,Rust,58
Java,Objective-C,410
Java,Jupyter Notebook,120
Java,DM,4
Java,R,57
Java,Lua,36
Java,Kotlin,430
Java,Elixir,20
Java,Perl,88
Java,Vue,39
Java,Makefile,193
Java,Groovy,320
Java,Julia,1
Java,Haskell,39
Java,CoffeeScript,58
Java,TeX,82
Java,Clojure,79
Java,HCL,31
Java,OCaml,12
Java,Vim script,23
Java,XSLT,112
Java,Nix,2
Java,Matlab,36
Java,CMake,22
Java,Dart,28
Java,Erlang,15
Java,Puppet,21
Java,Emacs Lisp,22
Java,Smarty,27
Java,PLpgSQL,36
Java,Visual Basic,16
Java,Fortran,6
Java,Arduino,34
Java,F#,4
HTML,JavaScript,9322
HTML,Python,3264
HTML,Java,2300
HTML,HTML,41524
HTML,Ruby,2095
HTML,PHP,1672
HTML,C++,738
HTML,Go,694
HTML,CSS,4479
HTML,C#,555
HTML,TypeScript,945
HTML,C,567
HTML,Shell,1319
HTML,Scala,210
HTML,Swift,184
HTML,PowerShell,57
HTML,Rust,139
HTML,Objective-C,157
HTML,Jupyter Notebook,314
HTML,DM,3
HTML,R,265
HTML,Lua,58
HTML,Kotlin,73
HTML,Elixir,94
HTML,Perl,113
HTML,Vue,115
HTML,Makefile,170
HTML,Groovy,94
HTML,Julia,27
HTML,Haskell,68
HTML,CoffeeScript,136
HTML,TeX,152
HTML,Clojure,50
HTML,HCL,68
HTML,OCaml,22
HTML,Vim script,64
HTML,XSLT,73
HTML,Nix,6
HTML,Matlab,36
HTML,CMake,48
HTML,Dart,18
HTML,Erlang,18
HTML,Puppet,85
HTML,Emacs Lisp,31
HTML,Smarty,31
HTML,PLpgSQL,52
HTML,Visual Basic,13
HTML,Fortran,11
HTML,Arduino,50
HTML,F#,14
Ruby,JavaScript,3175
Ruby,Python,1184
Ruby,Java,722
Ruby,HTML,2095
Ruby,Ruby,20670
Ruby,PHP,446
Ruby,C++,257
Ruby,Go,623
Ruby,CSS,1255
Ruby,C#,178
Ruby,TypeScript,234
Ruby,C,299
Ruby,Shell,1003
Ruby,Scala,87
Ruby,Swift,167
Ruby,PowerShell,41
Ruby,Rust,101
Ruby,Objective-C,165
Ruby,Jupyter Notebook,41
Ruby,DM,0
Ruby,R,34
Ruby,Lua,25
Ruby,Kotlin,38
Ruby,Elixir,178
Ruby,Perl,83
Ruby,Vue,33
Ruby,Makefile,141
Ruby,Groovy,63
Ruby,Julia,6
Ruby,Haskell,38
Ruby,CoffeeScript,133
Ruby,TeX,40
Ruby,Clojure,60
Ruby,HCL,99
Ruby,OCaml,9
Ruby,Vim script,83
Ruby,XSLT,43
Ruby,Nix,2
Ruby,Matlab,9
Ruby,CMake,17
Ruby,Dart,9
Ruby,Erlang,21
Ruby,Puppet,184
Ruby,Emacs Lisp,36
Ruby,Smarty,25
Ruby,PLpgSQL,19
Ruby,Visual Basic,3
Ruby,Fortran,3
Ruby,Arduino,14
Ruby,F#,3
PHP,JavaScript,3017
PHP,Python,873
PHP,Java,677
PHP,HTML,1672
PHP,Ruby,446
PHP,PHP,23118
PHP,C++,250
PHP,Go,281
PHP,CSS,1250
PHP,C#,264
PHP,TypeScript,265
PHP,C,227
PHP,Shell,639
PHP,Scala,24
PHP,Swift,71
PHP,PowerShell,26
PHP,Rust,25
PHP,Objective-C,58
PHP,Jupyter Notebook,20
PHP,DM,0
PHP,R,12
PHP,Lua,30
PHP,Kotlin,17
PHP,Elixir,28
PHP,Perl,71
PHP,Vue,93
PHP,Makefile,96
PHP,Groovy,17
PHP,Julia,3
PHP,Haskell,16
PHP,CoffeeScript,54
PHP,TeX,25
PHP,Clojure,9
PHP,HCL,10
PHP,OCaml,2
PHP,Vim script,29
PHP,XSLT,37
PHP,Nix,2
PHP,Matlab,5
PHP,CMake,11
PHP,Dart,4
PHP,Erlang,11
PHP,Puppet,22
PHP,Emacs Lisp,16
PHP,Smarty,25
PHP,PLpgSQL,12
PHP,Visual Basic,14
PHP,Fortran,1
PHP,Arduino,9
PHP,F#,2
C++,JavaScript,1193
C++,Python,1946
C++,Java,826
C++,HTML,738
C++,Ruby,257
C++,PHP,250
C++,C++,19056
C++,Go,283
C++,CSS,429
C++,C#,344
C++,TypeScript,148
C++,C,1512
C++,Shell,673
C++,Scala,60
C++,Swift,91
C++,PowerShell,51
C++,Rust,115
C++,Objective-C,98
C++,Jupyter Notebook,184
C++,DM,5
C++,R,75
C++,Lua,116
C++,Kotlin,28
C++,Elixir,9
C++,Perl,75
C++,Vue,19
C++,Makefile,266
C++,Groovy,21
C++,Julia,25
C++,Haskell,40
C++,CoffeeScript,29
C++,TeX,123
C++,Clojure,19
C++,HCL,4
C++,OCaml,18
C++,Vim script,34
C++,XSLT,32
C++,Nix,18
C++,Matlab,40
C++,CMake,271
C++,Dart,25
C++,Erlang,20
C++,Puppet,8
C++,Emacs Lisp,27
C++,Smarty,5
C++,PLpgSQL,16
C++,Visual Basic,16
C++,Fortran,38
C++,Arduino,70
C++,F#,7
Go,JavaScript,1322
