language1,language2,common_actors,paradigm1,paradigm2
CSS,JavaScript,1845,declarative,oob
CSS,Java,381,declarative,oob
CSS,Python,521,declarative,oob
CSS,HTML,1374,declarative,declarative
CSS,Ruby,396,declarative,oob
CSS,PHP,403,declarative,procedural
CSS,C++,124,declarative,procedural
CSS,C#,115,declarative,oob
CSS,TypeScript,213,declarative,oob
CSS,CSS,9102,declarative,declarative
CSS,Go,129,declarative,multi
CSS,C,84,declarative,imperative
CSS,Shell,250,declarative,scripted
CSS,Swift,33,declarative,multi
CSS,Scala,50,declarative,multi
CSS,PowerShell,13,declarative,scripted
CSS,Jupyter Notebook,30,declarative,oob
CSS,Rust,34,declarative,multi
CSS,Objective-C,19,declarative,oob
CSS,Kotlin,11,declarative,oob
CSS,R,21,declarative,multi
CSS,Lua,10,declarative,multi
CSS,Perl,15,declarative,multi
CSS,Julia,2,declarative,multi
CSS,Groovy,19,declarative,functional
CSS,Elixir,30,declarative,functional
CSS,CoffeeScript,28,declarative,multi
CSS,Haskell,8,declarative,functional
CSS,Clojure,6,declarative,functional
CSS,OCaml,4,declarative,functional
CSS,Matlab,4,declarative,multi
CSS,Nix,1,declarative,declarative
CSS,Vim script,13,declarative,scripted
CSS,Erlang,1,declarative,functional
CSS,Dart,10,declarative,oob
CSS,XSLT,11,declarative,declarative
CSS,Emacs Lisp,6,declarative,scripted
CSS,Visual Basic,1,declarative,multi
CSS,Arduino,2,declarative,imperative
CSS,PLpgSQL,7,declarative,declarative
CSS,D,7,declarative,multi
CSS,Assembly,3,declarative,machine
CSS,Fortran,4,declarative,imperative
CSS,F#,3,declarative,multi
CSS,Batchfile,7,declarative,scripted
CSS,Mathematica,0,declarative,undefined
CSS,Crystal,4,declarative,oob
CSS,Apex,1,declarative,undefined
CSS,Elm,8,declarative,declarative
CSS,Smalltalk,5,declarative,oob
Elm,JavaScript,19,declarative,oob
Elm,Java,3,declarative,oob
Elm,Python,5,declarative,oob
Elm,HTML,8,declarative,declarative
Elm,Ruby,3,declarative,oob
Elm,PHP,2,declarative,procedural
Elm,C++,2,declarative,procedural
Elm,C#,0,declarative,oob
Elm,TypeScript,2,declarative,oob
Elm,CSS,8,declarative,declarative
Elm,Go,2,declarative,multi
Elm,C,3,declarative,imperative
Elm,Shell,2,declarative,scripted
Elm,Swift,0,declarative,multi
Elm,Scala,1,declarative,multi
Elm,PowerShell,0,declarative,scripted
Elm,Jupyter Notebook,1,declarative,oob
Elm,Rust,4,declarative,multi
Elm,Objective-C,0,declarative,oob
Elm,Kotlin,0,declarative,oob
Elm,R,0,declarative,multi
Elm,Lua,0,declarative,multi
Elm,Perl,0,declarative,multi
Elm,Julia,1,declarative,multi
Elm,Groovy,1,declarative,functional
Elm,Elixir,5,declarative,functional
Elm,CoffeeScript,1,declarative,multi
Elm,Haskell,4,declarative,functional
Elm,Clojure,3,declarative,functional
Elm,OCaml,0,declarative,functional
Elm,Matlab,0,declarative,multi
Elm,Nix,0,declarative,declarative
Elm,Vim script,0,declarative,scripted
Elm,Erlang,0,declarative,functional
Elm,Dart,0,declarative,oob
Elm,XSLT,1,declarative,declarative
Elm,Emacs Lisp,1,declarative,scripted
Elm,Visual Basic,0,declarative,multi
Elm,Arduino,0,declarative,imperative
Elm,PLpgSQL,0,declarative,declarative
Elm,D,0,declarative,multi
Elm,Assembly,0,declarative,machine
Elm,Fortran,0,declarative,imperative
Elm,F#,1,declarative,multi
Elm,Batchfile,0,declarative,scripted
Elm,Mathematica,0,declarative,undefined
Elm,Crystal,0,declarative,oob
Elm,Apex,0,declarative,undefined
Elm,Elm,134,declarative,declarative
Elm,Smalltalk,0,declarative,oob
HTML,JavaScript,3233,declarative,oob
HTML,Java,821,declarative,oob
HTML,Python,1139,declarative,oob
HTML,HTML,18453,declarative,declarative
HTML,Ruby,672,declarative,oob
HTML,PHP,572,declarative,procedural
HTML,C++,245,declarative,procedural
HTML,C#,170,declarative,oob
HTML,TypeScript,338,declarative,oob
HTML,CSS,1374,declarative,declarative
HTML,Go,245,declarative,multi
HTML,C,165,declarative,imperative
HTML,Shell,396,declarative,scripted
HTML,Swift,43,declarative,multi
HTML,Scala,75,declarative,multi
HTML,PowerShell,15,declarative,scripted
HTML,Jupyter Notebook,91,declarative,oob
HTML,Rust,41,declarative,multi
HTML,Objective-C,44,declarative,oob
HTML,Kotlin,22,declarative,oob
HTML,R,79,declarative,multi
HTML,Lua,14,declarative,multi
HTML,Perl,33,declarative,multi
HTML,Julia,4,declarative,multi
HTML,Groovy,37,declarative,functional
HTML,Elixir,30,declarative,functional
HTML,CoffeeScript,38,declarative,multi
HTML,Haskell,34,declarative,functional
HTML,Clojure,13,declarative,functional
HTML,OCaml,8,declarative,functional
HTML,Matlab,16,declarative,multi
HTML,Nix,2,declarative,declarative
HTML,Vim script,19,declarative,scripted
HTML,Erlang,6,declarative,functional
HTML,Dart,7,declarative,oob
HTML,XSLT,24,declarative,declarative
HTML,Emacs Lisp,7,declarative,scripted
HTML,Visual Basic,5,declarative,multi
HTML,Arduino,11,declarative,imperative
HTML,PLpgSQL,14,declarative,declarative
HTML,D,4,declarative,multi
HTML,Assembly,6,declarative,machine
HTML,Fortran,2,declarative,imperative
HTML,F#,3,declarative,multi
HTML,Batchfile,5,declarative,scripted
HTML,Mathematica,5,declarative,undefined
HTML,Crystal,2,declarative,oob
HTML,Apex,2,declarative,undefined
HTML,Elm,8,declarative,declarative
HTML,Smalltalk,3,declarative,oob
Nix,JavaScript,7,declarative,oob
Nix,Java,4,declarative,oob
Nix,Python,14,declarative,oob
Nix,HTML,2,declarative,declarative
Nix,Ruby,2,declarative,oob
Nix,PHP,2,declarative,procedural
Nix,C++,4,declarative,procedural
Nix,C#,0,declarative,oob
Nix,TypeScript,0,declarative,oob
Nix,CSS,1,declarative,declarative
Nix,Go,3,declarative,multi
Nix,C,2,declarative,imperative
Nix,Shell,4,declarative,scripted
Nix,Swift,0,declarative,multi
Nix,Scala,1,declarative,multi
Nix,PowerShell,1,declarative,scripted
Nix,Jupyter Notebook,1,declarative,oob
Nix,Rust,6,declarative,multi
Nix,Objective-C,0,declarative,oob
Nix,Kotlin,0,declarative,oob
Nix,R,0,declarative,multi
Nix,Lua,1,declarative,multi
Nix,Perl,1,declarative,multi
Nix,Julia,0,declarative,multi
Nix,Groovy,0,declarative,functional
Nix,Elixir,0,declarative,functional
Nix,CoffeeScript,1,declarative,multi
Nix,Haskell,12,declarative,functional
Nix,Clojure,0,declarative,functional
Nix,OCaml,1,declarative,functional
Nix,Matlab,0,declarative,multi
Nix,Nix,127,declarative,declarative
Nix,Vim script,1,declarative,scripted
Nix,Erlang,1,declarative,functional
Nix,Dart,0,declarative,oob
Nix,XSLT,0,declarative,declarative
Nix,Emacs Lisp,3,declarative,scripted
Nix,Visual Basic,0,declarative,multi
Nix,Arduino,1,declarative,imperative
Nix,PLpgSQL,0,declarative,declarative
Nix,D,0,declarative,multi
Nix,Assembly,0,declarative,machine
Nix,Fortran,0,declarative,imperative
Nix,F#,0,declarative,multi
Nix,Batchfile,0,declarative,scripted
Nix,Mathematica,0,declarative,undefined
Nix,Crystal,0,declarative,oob
Nix,Apex,0,declarative,undefined
Nix,Elm,0,declarative,declarative
Nix,Smalltalk,0,declarative,oob
PLpgSQL,JavaScript,46,declarative,oob
PLpgSQL,Java,22,declarative,oob
PLpgSQL,Python,29,declarative,oob
PLpgSQL,HTML,14,declarative,declarative
PLpgSQL,Ruby,7,declarative,oob
PLpgSQL,PHP,6,declarative,procedural
PLpgSQL,C++,5,declarative,procedural
PLpgSQL,C#,3,declarative,oob
PLpgSQL,TypeScript,3,declarative,oob
PLpgSQL,CSS,7,declarative,declarative
PLpgSQL,Go,3,declarative,multi
PLpgSQL,C,6,declarative,imperative
PLpgSQL,Shell,7,declarative,scripted
PLpgSQL,Swift,0,declarative,multi
PLpgSQL,Scala,2,declarative,multi
PLpgSQL,PowerShell,0,declarative,scripted
PLpgSQL,Jupyter Notebook,1,declarative,oob
PLpgSQL,Rust,0,declarative,multi
PLpgSQL,Objective-C,0,declarative,oob
PLpgSQL,Kotlin,3,declarative,oob
PLpgSQL,R,1,declarative,multi
PLpgSQL,Lua,1,declarative,multi
PLpgSQL,Perl,3,declarative,multi
PLpgSQL,Julia,0,declarative,multi
PLpgSQL,Groovy,0,declarative,functional
PLpgSQL,Elixir,0,declarative,functional
PLpgSQL,CoffeeScript,0,declarative,multi
PLpgSQL,Haskell,1,declarative,functional
PLpgSQL,Clojure,1,declarative,functional
PLpgSQL,OCaml,0,declarative,functional
PLpgSQL,Matlab,0,declarative,multi
PLpgSQL,Nix,0,declarative,declarative
PLpgSQL,Vim script,0,declarative,scripted
PLpgSQL,Erlang,1,declarative,functional
PLpgSQL,Dart,0,declarative,oob
PLpgSQL,XSLT,0,declarative,declarative
PLpgSQL,Emacs Lisp,0,declarative,scripted
PLpgSQL,Visual Basic,1,declarative,multi
PLpgSQL,Arduino,0,declarative,imperative
PLpgSQL,PLpgSQL,183,declarative,declarative
PLpgSQL,D,0,declarative,multi
PLpgSQL,Assembly,0,declarative,machine
PLpgSQL,Fortran,0,declarative,imperative
PLpgSQL,F#,0,declarative,multi
PLpgSQL,Batchfile,1,declarative,scripted
PLpgSQL,Mathematica,0,declarative,undefined
PLpgSQL,Crystal,0,declarative,oob
PLpgSQL,Apex,0,declarative,undefined
PLpgSQL,Elm,0,declarative,declarative
PLpgSQL,Smalltalk,0,declarative,oob
XSLT,JavaScript,28,declarative,oob
XSLT,Java,37,declarative,oob
XSLT,Python,25,declarative,oob
XSLT,HTML,24,declarative,declarative
XSLT,Ruby,13,declarative,oob
XSLT,PHP,18,declarative,procedural
XSLT,C++,11,declarative,procedural
XSLT,C#,0,declarative,oob
XSLT,TypeScript,3,declarative,oob
XSLT,CSS,11,declarative,declarative
XSLT,Go,5,declarative,multi
XSLT,C,6,declarative,imperative
XSLT,Shell,23,declarative,scripted
XSLT,Swift,1,declarative,multi
XSLT,Scala,8,declarative,multi
XSLT,PowerShell,0,declarative,scripted
XSLT,Jupyter Notebook,2,declarative,oob
XSLT,Rust,3,declarative,multi
XSLT,Objective-C,0,declarative,oob
XSLT,Kotlin,2,declarative,oob
XSLT,R,1,declarative,multi
XSLT,Lua,1,declarative,multi
XSLT,Perl,0,declarative,multi
XSLT,Julia,0,declarative,multi
XSLT,Groovy,5,declarative,functional
XSLT,Elixir,0,declarative,functional
XSLT,CoffeeScript,0,declarative,multi
XSLT,Haskell,0,declarative,functional
XSLT,Clojure,0,declarative,functional
