language1,language2,paradigm1,paradigm2,common_actors
Apex,Apex,undefined,undefined,84
Apex,Mathematica,undefined,undefined,0
Apex,Shell,undefined,scripted,1
Apex,PowerShell,undefined,scripted,0
Apex,Vim script,undefined,scripted,0
Apex,Emacs Lisp,undefined,scripted,0
Apex,Batchfile,undefined,scripted,0
Apex,PHP,undefined,procedural,0
Apex,C++,undefined,procedural,0
Apex,JavaScript,undefined,oob,10
Apex,Python,undefined,oob,4
Apex,Java,undefined,oob,2
Apex,Ruby,undefined,oob,1
Apex,C#,undefined,oob,0
Apex,TypeScript,undefined,oob,0
Apex,Jupyter Notebook,undefined,oob,0
Apex,Objective-C,undefined,oob,0
Apex,Kotlin,undefined,oob,0
Apex,Dart,undefined,oob,0
Apex,Crystal,undefined,oob,0
Apex,Smalltalk,undefined,oob,0
Apex,Go,undefined,multi,1
Apex,Swift,undefined,multi,0
Apex,Scala,undefined,multi,0
Apex,R,undefined,multi,0
Apex,Rust,undefined,multi,0
Apex,Perl,undefined,multi,0
Apex,Lua,undefined,multi,0
Apex,CoffeeScript,undefined,multi,0
Apex,Matlab,undefined,multi,0
Apex,Julia,undefined,multi,0
Apex,Visual Basic,undefined,multi,0
Apex,F#,undefined,multi,0
Apex,D,undefined,multi,0
Apex,Assembly,undefined,machine,0
Apex,C,undefined,imperative,0
Apex,Arduino,undefined,imperative,0
Apex,Fortran,undefined,imperative,0
Apex,Groovy,undefined,functional,0
Apex,Elixir,undefined,functional,0
Apex,Haskell,undefined,functional,0
Apex,Clojure,undefined,functional,0
Apex,OCaml,undefined,functional,0
Apex,Erlang,undefined,functional,0
Apex,HTML,undefined,declarative,2
Apex,CSS,undefined,declarative,1
Apex,XSLT,undefined,declarative,0
Apex,PLpgSQL,undefined,declarative,0
Apex,Elm,undefined,declarative,0
Apex,Nix,undefined,declarative,0
Mathematica,Apex,undefined,undefined,0
Mathematica,Mathematica,undefined,undefined,73
Mathematica,Shell,undefined,scripted,1
Mathematica,PowerShell,undefined,scripted,0
Mathematica,Vim script,undefined,scripted,0
Mathematica,Emacs Lisp,undefined,scripted,0
Mathematica,Batchfile,undefined,scripted,0
Mathematica,PHP,undefined,procedural,1
Mathematica,C++,undefined,procedural,1
Mathematica,JavaScript,undefined,oob,3
Mathematica,Python,undefined,oob,3
Mathematica,Java,undefined,oob,1
Mathematica,Ruby,undefined,oob,1
Mathematica,C#,undefined,oob,17
Mathematica,TypeScript,undefined,oob,0
Mathematica,Jupyter Notebook,undefined,oob,1
Mathematica,Objective-C,undefined,oob,0
Mathematica,Kotlin,undefined,oob,0
Mathematica,Dart,undefined,oob,0
Mathematica,Crystal,undefined,oob,0
Mathematica,Smalltalk,undefined,oob,0
Mathematica,Go,undefined,multi,1
Mathematica,Swift,undefined,multi,0
Mathematica,Scala,undefined,multi,0
Mathematica,R,undefined,multi,0
Mathematica,Rust,undefined,multi,0
Mathematica,Perl,undefined,multi,0
Mathematica,Lua,undefined,multi,0
Mathematica,CoffeeScript,undefined,multi,0
Mathematica,Matlab,undefined,multi,0
Mathematica,Julia,undefined,multi,0
Mathematica,Visual Basic,undefined,multi,0
Mathematica,F#,undefined,multi,0
Mathematica,D,undefined,multi,0
Mathematica,Assembly,undefined,machine,0
Mathematica,C,undefined,imperative,2
Mathematica,Arduino,undefined,imperative,0
Mathematica,Fortran,undefined,imperative,0
Mathematica,Groovy,undefined,functional,0
Mathematica,Elixir,undefined,functional,0
Mathematica,Haskell,undefined,functional,0
Mathematica,Clojure,undefined,functional,0
Mathematica,OCaml,undefined,functional,0
Mathematica,Erlang,undefined,functional,0
Mathematica,HTML,undefined,declarative,5
Mathematica,CSS,undefined,declarative,0
Mathematica,XSLT,undefined,declarative,0
Mathematica,PLpgSQL,undefined,declarative,0
Mathematica,Elm,undefined,declarative,0
Mathematica,Nix,undefined,declarative,0
Shell,Apex,scripted,undefined,1
Shell,Mathematica,scripted,undefined,1
Shell,Shell,scripted,scripted,6220
Shell,PowerShell,scripted,scripted,20
Shell,Vim script,scripted,scripted,29
Shell,Emacs Lisp,scripted,scripted,6
Shell,Batchfile,scripted,scripted,10
Shell,PHP,scripted,procedural,221
Shell,C++,scripted,procedural,262
Shell,JavaScript,scripted,oob,724
Shell,Python,scripted,oob,1028
Shell,Java,scripted,oob,525
Shell,Ruby,scripted,oob,314
Shell,C#,scripted,oob,49
Shell,TypeScript,scripted,oob,103
Shell,Jupyter Notebook,scripted,oob,59
Shell,Objective-C,scripted,oob,17
Shell,Kotlin,scripted,oob,20
Shell,Dart,scripted,oob,2
Shell,Crystal,scripted,oob,3
Shell,Smalltalk,scripted,oob,5
Shell,Go,scripted,multi,406
Shell,Swift,scripted,multi,24
Shell,Scala,scripted,multi,68
Shell,R,scripted,multi,19
Shell,Rust,scripted,multi,51
Shell,Perl,scripted,multi,67
Shell,Lua,scripted,multi,28
Shell,CoffeeScript,scripted,multi,16
Shell,Matlab,scripted,multi,6
Shell,Julia,scripted,multi,7
Shell,Visual Basic,scripted,multi,4
Shell,F#,scripted,multi,3
Shell,D,scripted,multi,9
Shell,Assembly,scripted,machine,7
Shell,C,scripted,imperative,288
Shell,Arduino,scripted,imperative,4
Shell,Fortran,scripted,imperative,7
Shell,Groovy,scripted,functional,70
Shell,Elixir,scripted,functional,19
Shell,Haskell,scripted,functional,20
Shell,Clojure,scripted,functional,10
Shell,OCaml,scripted,functional,11
Shell,Erlang,scripted,functional,12
Shell,HTML,scripted,declarative,396
Shell,CSS,scripted,declarative,250
Shell,XSLT,scripted,declarative,23
Shell,PLpgSQL,scripted,declarative,7
Shell,Elm,scripted,declarative,2
Shell,Nix,scripted,declarative,4
PowerShell,Apex,scripted,undefined,0
PowerShell,Mathematica,scripted,undefined,0
PowerShell,Shell,scripted,scripted,20
PowerShell,PowerShell,scripted,scripted,812
PowerShell,Vim script,scripted,scripted,1
PowerShell,Emacs Lisp,scripted,scripted,0
PowerShell,Batchfile,scripted,scripted,20
PowerShell,PHP,scripted,procedural,4
PowerShell,C++,scripted,procedural,8
PowerShell,JavaScript,scripted,oob,50
PowerShell,Python,scripted,oob,29
PowerShell,Java,scripted,oob,7
PowerShell,Ruby,scripted,oob,18
PowerShell,C#,scripted,oob,74
PowerShell,TypeScript,scripted,oob,18
PowerShell,Jupyter Notebook,scripted,oob,1
PowerShell,Objective-C,scripted,oob,1
PowerShell,Kotlin,scripted,oob,0
PowerShell,Dart,scripted,oob,0
PowerShell,Crystal,scripted,oob,0
PowerShell,Smalltalk,scripted,oob,0
PowerShell,Go,scripted,multi,6
PowerShell,Swift,scripted,multi,0
PowerShell,Scala,scripted,multi,1
PowerShell,R,scripted,multi,0
PowerShell,Rust,scripted,multi,3
PowerShell,Perl,scripted,multi,1
PowerShell,Lua,scripted,multi,2
PowerShell,CoffeeScript,scripted,multi,1
PowerShell,Matlab,scripted,multi,0
PowerShell,Julia,scripted,multi,0
